Item #,Type,Description,Dimensions,Qty,Unit Wt (lb/ft),Total Wt (lb),Material
1,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x48.0"" (16ga)",16ga,1,,39.62,Galvanized Steel
2,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x48.0"" (16ga)",16ga,1,,39.62,Galvanized Steel
3,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x48.0"" (16ga)",16ga,1,,39.62,Galvanized Steel
4,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x48.0"" (16ga)",16ga,1,,39.62,Galvanized Steel
5,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x48.0"" (16ga)",16ga,1,,39.62,Galvanized Steel
6,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x48.0"" (16ga)",16ga,1,,39.62,Galvanized Steel
7,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x48.0"" (16ga)",16ga,1,,39.62,Galvanized Steel
8,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x48.0"" (16ga)",16ga,1,,39.62,Galvanized Steel
9,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x48.0"" (16ga)",16ga,1,,39.62,Galvanized Steel
10,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x48.0"" (16ga)",16ga,1,,39.62,Galvanized Steel
11,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x48.0"" (16ga)",16ga,1,,39.62,Galvanized Steel
12,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x48.0"" (16ga)",16ga,1,,39.62,Galvanized Steel
13,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x48.0"" (16ga)",16ga,1,,39.62,Galvanized Steel
14,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x48.0"" (16ga)",16ga,1,,39.62,Galvanized Steel
15,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x48.0"" (16ga)",16ga,1,,39.62,Galvanized Steel
16,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x48.0"" (16ga)",16ga,1,,39.62,Galvanized Steel
17,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x48.0"" (16ga)",16ga,1,,39.62,Galvanized Steel
18,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x48.0"" (16ga)",16ga,1,,39.62,Galvanized Steel
19,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x96.0"" (16ga)",16ga,1,,79.23,Galvanized Steel
20,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x96.0"" (16ga)",16ga,1,,79.23,Galvanized Steel
21,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x96.0"" (16ga)",16ga,1,,79.23,Galvanized Steel
22,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x96.0"" (16ga)",16ga,1,,79.23,Galvanized Steel
23,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x96.0"" (16ga)",16ga,1,,79.23,Galvanized Steel
24,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x96.0"" (16ga)",16ga,1,,79.23,Galvanized Steel
25,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x96.0"" (16ga)",16ga,1,,79.23,Galvanized Steel
26,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x96.0"" (16ga)",16ga,1,,79.23,Galvanized Steel
27,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x96.0"" (16ga)",16ga,1,,79.23,Galvanized Steel
28,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x54.0"" (16ga)",16ga,1,,44.57,Galvanized Steel
29,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x54.0"" (16ga)",16ga,1,,44.57,Galvanized Steel
30,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x54.0"" (16ga)",16ga,1,,44.57,Galvanized Steel
31,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x54.0"" (16ga)",16ga,1,,44.57,Galvanized Steel
32,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x54.0"" (16ga)",16ga,1,,44.57,Galvanized Steel
33,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x54.0"" (16ga)",16ga,1,,44.57,Galvanized Steel
34,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x54.0"" (16ga)",16ga,1,,44.57,Galvanized Steel
35,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x54.0"" (16ga)",16ga,1,,44.57,Galvanized Steel
36,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x54.0"" (16ga)",16ga,1,,44.57,Galvanized Steel
37,Sheet Metal,"Sheet Metal Panel - 50.0""x48.0"" (16ga)",16ga,1,,40.70,Galvanized Steel
38,Sheet Metal,"Sheet Metal Panel - 50.0""x48.0"" (16ga)",16ga,1,,40.70,Galvanized Steel
39,Sheet Metal,"Sheet Metal Panel - 50.0""x48.0"" (16ga)",16ga,1,,40.70,Galvanized Steel
40,Sheet Metal,"Sheet Metal Panel - 50.0""x48.0"" (16ga)",16ga,1,,40.70,Galvanized Steel
41,Sheet Metal,"Sheet Metal Panel - 50.0""x48.0"" (16ga)",16ga,1,,40.70,Galvanized Steel
42,Sheet Metal,"Sheet Metal Panel - 50.0""x48.0"" (16ga)",16ga,1,,40.70,Galvanized Steel
43,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x96.0"" (16ga)",16ga,1,,79.23,Galvanized Steel
44,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x96.0"" (16ga)",16ga,1,,79.23,Galvanized Steel
45,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x96.0"" (16ga)",16ga,1,,79.23,Galvanized Steel
46,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x96.0"" (16ga)",16ga,1,,79.23,Galvanized Steel
47,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x96.0"" (16ga)",16ga,1,,79.23,Galvanized Steel
48,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x96.0"" (16ga)",16ga,1,,79.23,Galvanized Steel
49,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x96.0"" (16ga)",16ga,1,,79.23,Galvanized Steel
50,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x96.0"" (16ga)",16ga,1,,79.23,Galvanized Steel
51,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x96.0"" (16ga)",16ga,1,,79.23,Galvanized Steel
52,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x54.0"" (16ga)",16ga,1,,44.57,Galvanized Steel
53,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x54.0"" (16ga)",16ga,1,,44.57,Galvanized Steel
54,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x54.0"" (16ga)",16ga,1,,44.57,Galvanized Steel
55,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x54.0"" (16ga)",16ga,1,,44.57,Galvanized Steel
56,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x54.0"" (16ga)",16ga,1,,44.57,Galvanized Steel
57,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x54.0"" (16ga)",16ga,1,,44.57,Galvanized Steel
58,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x54.0"" (16ga)",16ga,1,,44.57,Galvanized Steel
59,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x54.0"" (16ga)",16ga,1,,44.57,Galvanized Steel
60,Sheet Metal,"Sheet Metal Panel - 48.666666666666664""x54.0"" (16ga)",16ga,1,,44.57,Galvanized Steel
61,MEP - Ductwork,Round Duct - Straight,"24.0"" Dia, L: 12.0""",1,,,
62,MEP - Ductwork,Round Duct - Straight,"24.0"" Dia, L: 96.0""",1,,,
63,MEP - Ductwork,Round Duct - Straight,"24.0"" Dia, L: 12.0""",1,,,
64,MEP - Ductwork,Round Duct - Straight,"24.0"" Dia, L: 96.0""",1,,,
65,MEP - Ductwork,Round Duct - Straight,"24.0"" Dia, L: 96.0""",1,,,
66,Sheet Metal,"Sheet Metal Panel - 32.0""x96.0"" (16ga)",16ga,1,,52.10,Galvanized Steel
67,Sheet Metal,"Sheet Metal Panel - 32.0""x96.0"" (16ga)",16ga,1,,52.10,Galvanized Steel
68,Sheet Metal,"Sheet Metal Panel - 32.0""x96.0"" (16ga)",16ga,1,,52.10,Galvanized Steel
69,Sheet Metal,"Sheet Metal Panel - 32.0""x57.0"" (16ga)",16ga,1,,30.93,Galvanized Steel
70,Sheet Metal,"Sheet Metal Panel - 32.0""x57.0"" (16ga)",16ga,1,,30.93,Galvanized Steel
71,Sheet Metal,"Sheet Metal Panel - 32.0""x57.0"" (16ga)",16ga,1,,30.93,Galvanized Steel
72,Sheet Metal,"Sheet Metal Panel - 32.0""x96.0"" (16ga)",16ga,1,,52.10,Galvanized Steel
73,Sheet Metal,"Sheet Metal Panel - 32.0""x96.0"" (16ga)",16ga,1,,52.10,Galvanized Steel
74,Sheet Metal,"Sheet Metal Panel - 32.0""x96.0"" (16ga)",16ga,1,,52.10,Galvanized Steel
75,Sheet Metal,"Sheet Metal Panel - 32.0""x57.0"" (16ga)",16ga,1,,30.93,Galvanized Steel
76,Sheet Metal,"Sheet Metal Panel - 32.0""x57.0"" (16ga)",16ga,1,,30.93,Galvanized Steel
77,Sheet Metal,"Sheet Metal Panel - 32.0""x57.0"" (16ga)",16ga,1,,30.93,Galvanized Steel
78,Sheet Metal,"Sheet Metal Panel - 32.0""x60.0"" (16ga)",16ga,1,,32.56,Galvanized Steel
79,Sheet Metal,"Sheet Metal Panel - 32.0""x60.0"" (16ga)",16ga,1,,32.56,Galvanized Steel
80,Sheet Metal,"Sheet Metal Panel - 32.0""x60.0"" (16ga)",16ga,1,,32.56,Galvanized Steel
81,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
82,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
83,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
84,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
85,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
86,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
87,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
88,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
89,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
90,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
91,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
92,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
93,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
94,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
95,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
96,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
97,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
98,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
99,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
100,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
101,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
102,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
103,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
104,Sheet Metal,"Sheet Metal Panel - 30.0""x96.0"" (16ga)",16ga,1,,48.84,Galvanized Steel
105,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
106,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
107,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
108,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
109,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
110,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
111,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
112,Sheet Metal,"Sheet Metal Panel - 30.0""x57.0"" (16ga)",16ga,1,,29.00,Galvanized Steel
113,Sheet Metal,"Sheet Metal Panel - 30.0""x60.0"" (16ga)",16ga,1,,30.53,Galvanized Steel
114,Sheet Metal,"Sheet Metal Panel - 30.0""x60.0"" (16ga)",16ga,1,,30.53,Galvanized Steel
115,Sheet Metal,"Sheet Metal Panel - 30.0""x60.0"" (16ga)",16ga,1,,30.53,Galvanized Steel
